-7.29,0.79,0.79
-6.85,1.18,1.18
-6.40,1.58,1.58
-5.95,1.97,1.97
-11.41,-10.00,-10.00
-11.86,-9.99,-9.99
-12.05,-9.96,-9.96
-12.15,-9.92,-9.92
-12.30,-9.86,-9.86
-12.40,-9.79,-9.79
-12.55,-9.70,-9.70
-12.70,-9.59,-9.59
-12.80,-9.47,-9.47
-12.95,-9.34,-9.34
-13.05,-9.19,-9.19
-13.14,-9.02,-9.02
-13.19,-8.84,-8.84
-13.19,-8.65,-8.65
-13.19,-8.44,-8.44
-13.19,-8.22,-8.22
-13.14,-7.98,-7.98
-13.10,-7.74,-7.74
-13.00,-7.48,-7.48
-12.85,-7.21,-7.21
-12.75,-6.92,-6.92
-12.65,-6.63,-6.63
-12.50,-6.32,-6.32
-12.35,-6.01,-6.01
-12.20,-5.68,-5.68
-12.10,-5.35,-5.35
-12.00,-5.01,-5.01
-11.90,-4.66,-4.66
-11.41,-4.30,-4.30
-11.11,-3.94,-3.94
-10.86,-3.57,-3.57
-10.32,-3.19,-3.19
-10.12,-2.81,-2.81
-9.77,-2.42,-2.42
-9.47,-2.03,-2.03
-9.08,-1.64,-1.64
-8.68,-1.24,-1.24
-8.33,-0.84,-0.84
-7.99,-0.45,-0.45
-7.59,-0.05,-0.05
-7.19,0.35,0.35
-6.75,0.75,0.75
-6.30,1.15,1.15
-5.85,1.55,1.55
-5.41,1.94,1.94
-4.96,2.33,2.33
-4.46,2.72,2.72
-4.02,3.10,3.10
-3.42,3.48,3.48
-2.98,3.85,3.85
-2.53,4.22,4.22
-1.64,4.58,4.58
0.64,4.93,4.93
1.14,5.27,5.27
1.64,5.61,5.61
2.18,5.94,5.94
2.78,6.25,6.25
3.32,6.56,6.56
3.92,6.86,6.86
4.41,7.14,7.14
4.86,7.42,7.42
5.36,7.68,7.68
5.85,7.93,7.93
6.35,8.17,8.17
6.94,8.39,8.39
7.39,8.60,8.60
7.84,8.80,8.80
8.18,8.98,8.98
8.58,9.15,9.15
8.98,9.30,9.30
9.33,9.44,9.44
9.72,9.57,9.57
10.02,9.68,9.68
10.37,9.77,9.77
10.71,9.85,9.85
11.01,9.91,9.91
11.31,9.95,9.95
11.56,9.98,9.98
11.81,10.00,10.00
12.10,10.00,10.00
12.40,9.98,9.98
12.55,9.95,9.95
12.80,9.90,9.90
13.05,9.83,9.83
13.24,9.75,9.75
13.39,9.65,9.65
13.54,9.54,9.54
13.64,9.41,9.41
13.74,9.27,9.27
13.79,9.11,9.11
13.89,8.94,8.94
13.89,8.75,8.75
13.89,8.55,8.55
13.94,8.34,8.34
13.89,8.11,8.11
13.79,7.87,7.87
13.79,7.62,7.62
13.69,7.35,7.35
13.59,7.08,7.08
13.49,6.79,6.79
13.39,6.49,6.49
13.24,6.18,6.18
13.05,5.86,5.86
12.85,5.53,5.53
12.65,5.19,5.19
12.40,4.85,4.85
12.20,4.49,4.49
11.95,4.13,4.13
11.76,3.77,3.77
11.41,3.39,3.39
11.21,3.01,3.01
10.91,2.63,2.63
10.62,2.24,2.24
10.27,1.85,1.85
9.92,1.46,1.46
9.62,1.06,1.06
9.23,0.66,0.66
8.83,0.26,0.26
8.43,-0.14,-0.14
8.04,-0.54,-0.54
7.64,-0.94,-0.94
7.14,-1.33,-1.33
6.70,-1.73,-1.73
6.10,-2.12,-2.12
5.56,-2.51,-2.51
5.01,-2.90,-2.90
4.46,-3.28,-3.28
3.97,-3.65,-3.65
3.42,-4.02,-4.02
2.88,-4.38,-4.38
2.33,-4.74,-4.74
1.84,-5.09,-5.09
1.34,-5.43,-5.43
0.84,-5.76,-5.76
-1.49,-6.08,-6.08
-0.05,-6.39,-6.39
-2.73,-6.70,-6.70
-3.17,-6.99,-6.99
-3.72,-7.27,-7.27
-4.27,-7.54,-7.54
-4.71,-7.79,-7.79
-5.21,-8.04,-8.04
-5.75,-8.27,-8.27
-6.25,-8.49,-8.49
-6.75,-8.69,-8.69
-7.24,-8.88,-8.88
-7.74,-9.06,-9.06
-8.23,-9.22,-9.22
-8.68,-9.37,-9.37
-9.18,-9.50,-9.50
-9.52,-9.62,-9.62
-9.92,-9.72,-9.72
-10.27,-9.81,-9.81
-10.81,-9.88,-9.88
-11.16,-9.93,-9.93
-11.46,-9.97,-9.97
-11.95,-9.99,-9.99
-12.10,-10.00,-10.00
-12.25,-9.99,-9.99
-12.45,-9.97,-9.97
-12.75,-9.92,-9.92
-12.85,-9.87,-9.87
-13.14,-9.79,-9.79
-13.24,-9.71,-9.71
-13.39,-9.60,-9.60
