-12.75,-7.46,-3.76
-12.75,-7.55,-3.78
-12.75,-7.65,-3.82
-12.70,-7.76,-3.86
6.75,8.35,4.12
6.70,8.40,4.17
6.60,8.40,4.20
6.60,8.36,4.21
6.65,8.27,4.19
6.65,8.13,4.16
6.70,7.97,4.10
6.80,7.78,4.03
6.85,7.58,3.94
6.94,7.39,3.85
7.04,7.23,3.75
6.99,7.10,3.67
7.09,7.02,3.60
7.09,7.00,3.55
7.09,7.05,3.53
7.04,7.17,3.54
6.99,7.35,3.59
6.85,7.60,3.67
6.80,7.89,3.78
6.65,8.20,3.91
6.40,8.52,4.06
6.25,8.82,4.21
6.20,9.07,4.36
6.15,9.25,4.49
6.15,9.32,4.58
6.10,9.26,4.63
6.20,9.06,4.62
6.30,8.69,4.54
6.45,8.15,4.38
6.75,7.44,4.14
7.04,6.57,3.82
7.29,5.54,3.41
7.59,4.37,2.92
7.84,3.10,2.36
8.09,1.75,1.74
8.28,0.36,1.08
8.43,-1.04,0.39
8.58,-2.40,-0.31
8.63,-3.70,-1.00
8.58,-4.90,-1.67
8.48,-5.98,-2.29
8.23,-6.90,-2.86
7.94,-7.66,-3.35
7.59,-8.25,-3.77
7.19,-8.67,-4.11
6.65,-8.93,-4.36
5.90,-9.03,-4.53
5.16,-8.99,-4.62
4.37,-8.85,-4.63
3.52,-8.62,-4.59
2.58,-8.33,-4.50
1.69,-8.02,-4.38
0.74,-7.70,-4.23
-0.20,-7.40,-4.08
-3.22,-7.14,-3.93
-4.37,-6.94,-3.79
-5.21,-6.81,-3.68
-6.10,-6.74,-3.60
-7.04,-6.74,-3.55
-7.84,-6.81,-3.53
-8.53,-6.93,-3.55
-9.28,-7.10,-3.59
-9.72,-7.29,-3.66
-10.07,-7.50,-3.74
-10.47,-7.69,-3.83
-10.81,-7.88,-3.93
-11.06,-8.03,-4.02
-11.21,-8.14,-4.09
-11.36,-8.20,-4.15
-11.41,-8.22,-4.19
-11.51,-8.19,-4.21
-11.81,-8.12,-4.20
-11.86,-8.02,-4.17
-11.90,-7.89,-4.13
-12.00,-7.75,-4.07
-12.05,-7.60,-4.00
