ActualPosition ReferenceInput DesiredTrajectory
-0.01
-9.82,0.57,0.00
-9.77,0.96,0.40
-9.82,1.35,0.80
-9.82,1.73,1.20
-9.87,2.11,1.59
-9.92,2.49,1.99
-10.02,2.87,2.38
-10.02,3.24,2.76
-10.02,3.61,3.15
-10.02,3.97,3.52
-9.97,4.32,3.89
-9.72,4.67,4.26
-9.52,5.01,4.62
-9.33,5.34,4.97
-9.03,5.66,5.31
-8.73,5.98,5.65
-8.33,6.29,5.97
-7.94,6.58,6.29
-7.54,6.87,6.59
-7.09,7.14,6.89
-6.55,7.40,7.17
-6.10,7.66,7.45
-5.61,7.90,7.71
-5.06,8.12,7.96
-4.51,8.34,8.19
-4.02,8.54,8.41
-3.47,8.73,8.62
-2.88,8.90,8.82
-2.48,9.06,9.00
-1.64,9.21,9.17
0.74,9.34,9.32
1.24,9.45,9.46
1.69,9.55,9.58
2.13,9.64,9.69
2.63,9.71,9.78
3.12,9.76,9.85
3.52,9.80,9.91
4.07,9.83,9.96
4.46,9.84,9.99
4.81,9.83,10.00
5.21,9.81,10.00
5.56,9.77,9.98
5.80,9.71,9.94
6.15,9.64,9.89
6.35,9.56,9.82
6.70,9.46,9.74
6.89,9.34,9.64
6.99,9.21,9.53
7.14,9.07,9.40
7.24,8.91,9.25
7.29,8.74,9.09
7.34,8.55,8.92
7.39,8.35,8.73
7.39,8.14,8.53
7.34,7.91,8.31
7.29,7.67,8.08
7.24,7.42,7.84
7.14,7.15,7.59
7.04,6.88,7.32
6.89,6.59,7.04
6.75,6.30,6.75
6.40,5.99,6.45
6.25,5.68,6.14
6.10,5.35,5.82
5.75,5.02,5.49
5.51,4.68,5.16
5.26,4.33,4.81
4.96,3.97,4.45
4.66,3.61,4.09
4.32,3.24,3.72
3.97,2.87,3.35
3.67,2.49,2.97
3.27,2.11,2.59
2.93,1.73,2.20
2.48,1.34,1.81
2.08,0.95,1.41
1.69,0.56,1.01
1.34,0.17,0.62
0.84,-0.22,0.22
0.45,-0.61,-0.18
0.10,-1.00,-0.58
-2.08,-1.39,-0.98
